NAMA,NPWP,skala_usaha,nilai_transaksi,jumlah_transaksi,score
Clap,575711317669555,3,136243857594,987,22.16
Cloriss,570520101906556,3,404517613822,2205,27.34
Con Load,569024453971555,3,283290076457,11310,36.75
Corkery  Turcotte,567731184678555,3,105711741610,159,31.72
Creme De,569012100066555,3,236885022957,3541,29.22
Crew Cab,574373358277555,3,111500855141,462,38.73
Cronin  Kuhlman,568045400969555,3,206827752879,25432,22.42
Daugherty And Sons,560964352763555,3,592098722403,7493,33.37
Dellin,868167649970555,3,347733479935,388,22.15
Design Sutra,579846469763555,3,487187160085,4004,27.76
Dewdrop,574953177886555,3,713091848061,4149,27.68
Dizzz,868752269997555,3,685587572077,2741,23.35
Dyke,569222156960555,3,177278074715,2938,44.92
Earthy,565268443968557,3,164558523473,6918,39.26
Eartwist,587587111060555,3,391232041360,2552,22.96
East Taste,563041099060556,3,719791515024,13551,40.13
Eblecreem,561561726958555,3,109046720833,1797,48.03
Ele,568481563986555,3,376692725961,905,26.66
Estona,560316777986555,3,132328092672,9719,39.59
Exotica,564408602151555,3,123095930230,568,36.42
Feogaza,560731884961555,3,127329581115,16771,34.47
First Class,562639970106555,3,358988596692,2368,36.09
Flit  Fret,561267928976555,3,134656033037,1682,21.56
Flourish,577133443959555,3,129747417308,2847,25.45
Fortleza,572881263997555,3,129812869352,545,15.39
FrendyS,563374118906555,3,189567043658,3535,42.42
Freshbit,869374747076555,3,342954106535,2584,26.40
Geppetto,266936995074555,3,271813691206,908,30.06
Get,562089339063555,3,367262623281,560,30.99
Gloflo,570663612088555,3,824395190732,4049,37.28
Go,569092136088555,3,564686640236,5644,22.86
Goldner Cronin And Zulauf,562665106591555,3,183528043038,443,31.18
Goodfeel,588686607876556,3,586356959953,3891,48.50
Gopal,587587806060555,3,302777556230,2787,30.03
Gore Core,565551378066555,3,170276074463,6074,37.03
Gorge Us,565565859266556,3,160051883065,43,12.29
Gorillatwenty,119011535997555,3,147142903427,641,13.72
Gortex Cortex,586378298070555,3,254011018682,20233,35.87
Grab Concrete,565268650981555,3,154020472964,12372,44.59
Granite Train,570840418088555,3,289664276500,964,24.50
Grassmasher,560854106157555,3,194287612131,936,12.95
Gravikitty,573449995050555,3,207447699645,1948,37.79
Greatxpectations,567652818976555,3,128193724523,5616,42.04
Green Exit,564879408088555,3,561468033787,2455,35.86
Green Louie,868065926170555,3,129679736811,1134,22.98
Greenspam,303865310068555,3,191678549355,1624,32.48
Gretels And Goths,298491668060555,3,144927897295,237,25.11
Gridlock,568643867957555,3,290810072364,7024,26.11
Grizzled Heights,572389762088555,3,225316928434,2039,22.11
Groovy,565553770552555,3,640855605327,13766,48.16
Gynk,568697196589555,3,132026144779,5470,34.05
Hairpin Tourniquet,578244050906555,3,203700259543,9765,27.96
Hairport,569859009960555,3,659028024549,32832,43.89
Hand  Mills,565260994502555,3,448210990294,3973,46.59
Happy Sound,212129103356555,3,129709212047,12184,31.53
Has Bean,568922202906555,3,555238701694,6549,33.36
Hatch,211617704063555,3,337825158641,607,18.11
Hate The Boss,563298980154555,3,703678636071,423,23.72
Hawt Nawt,578092507066555,3,291938122645,527,11.40
HazelS Headband,587540474058555,3,299130605667,2213,23.29
Headsiv,575401131957555,3,754523702606,60228,32.43
Heaven Forbid,577116713106555,3,488396553182,4483,27.72
Helium,571467005971555,3,181703514541,4601,18.56
Heritage,587468419170555,3,117120224170,1094,29.35
Hilpert  Dare,568800962592555,3,897619570356,64125,24.47
Homemade Hugo,561517522079555,3,362503820589,3291,21.69
Hunky Dorry,860957023068555,3,188059994693,1913,23.56
Idatitude,765168650971555,3,165665352317,6895,25.31
Inkman Tees,577090031066555,3,181127840068,3052,26.57
Inspira,577118214106555,3,789157317315,1078,31.14
Ixny,576764283960555,3,863521059631,28062,44.32
Jerde  Conroy,561097234552555,3,559589167990,13470,40.35
Jiva,561221113167555,3,227224630674,78,14.70
Koss Inc,569321271678555,3,140313639803,1741,27.58
Krajcik Bashirian And Lakin,568088137963555,3,113734424858,4296,24.37
Kratoss,375366298058556,3,141472012864,1168,47.87
Kshitij,569123891170555,3,132335021771,1623,29.79
Lazzo Lit,563893812167556,3,355104383770,585,15.17
LetS Fly,564368550960555,3,597425710696,48642,56.88
Lindgren  Beier,385568265566555,3,278901535847,93,39.58
Lippy,575326779960555,3,202359711873,18128,47.24
Littel Inc,867208578573555,3,119564699772,61,21.75
Lovemetz,569965814158556,3,343607008081,12112,38.66
Lumi,570762026997555,3,139553539644,65,10.66
Luvleo,297911254063555,3,109897269631,744,16.49
Lynch And Sons,573933947670555,3,101656810804,976,20.95
Macgyver Hammes And Murray,568318775502555,3,243284807412,5728,40.27
Macho Ming,285867740162555,3,573799995697,20537,42.50
Mad Clap,579602985088555,3,131900572880,819,23.82
Manhattan,569916660060555,3,258119989318,1194,27.45
Marmo,765062752050555,3,315663409306,1908,18.37
Marzipan,868617969764555,3,217065068658,930,34.14
Mold Music,867464278068555,3,848118648595,4915,31.45
Moment Tree,560123163157555,3,268847906572,2297,31.16
Mondo,572682562167555,3,144070105693,687,17.48
Mondo Bocci,298983300169555,3,275458206110,9652,42.16
Montoxic,217353201063555,3,573948893791,2033,16.59
More Than More,575775753957555,3,701768780073,9554,36.95
Moreordinary,512078051971555,3,113937489987,2515,11.54
Motherland,563860185196555,3,341956199245,18553,38.70
Mr Ducky,560405471066555,3,485641384442,7076,24.25
Mr Prohibitor,460470548170555,3,277108195309,40,63.03
Mr Punnymoon,565558639277555,3,448792292106,1198,18.75
Mr Sadie,562474612164555,3,874686837881,8718,23.46
Mrs Clean,563932380074555,3,287394957585,1823,22.46
Ms Ducky,268185664150555,3,133261620811,1161,22.01
Muffasa,862467773068555,3,147930547131,540,17.80
Munich,567530949196555,3,133236180048,1743,31.15
Mustard Plaster,569132579163555,3,216586936509,2329,23.23
My Oh Guru Mai,565164624983556,3,864194484144,1124,67.24
Mystic Zilla,577530228186555,3,671128460211,29794,31.94
Mystical Union,262743872063555,3,394106610313,2002,19.80
Naked Lunch,862796411068555,3,118734161050,1136,19.86
Nakshatra,566753013066555,3,648773556514,1760,20.44
Namby Pam B,569043329062555,3,505298173852,4064,24.04
Nasdaction,575797110956555,3,676005062212,3741,32.75
Nastenka,562756111477555,3,155185012454,22270,37.96
Natalia,869853173197555,3,672373204817,3354,42.35
Native Et,860316287167555,3,308177523182,3220,21.23
Nauu Utensil,264958130101555,3,128879267193,1040,32.56
Navajo Dad,562797529066555,3,731908957421,8931,45.90
Neitsche Forest,116423255060555,3,156267210136,1522,28.73
Nest Vesting,586267194906555,3,114167218441,966,22.63
Netizen,263139674959555,3,393070512077,18663,47.20
New Whirled Order,569104495161555,3,148197680222,455,11.73
New World Odor,561519528088555,3,523408947479,1276,29.38
Newmine,565135859196555,3,833866967193,12005,37.45
Newmown,568881293583555,3,514297653915,32685,36.23
Nexzone,570102429406555,3,282748647738,800,38.11
Nightwords,577506867060555,3,145166752184,2357,33.12
Nonbank,386719859170555,3,100459236675,603,24.59
Nubucks,578618644406555,3,286170491238,1001,24.00
Nutpick,560602638087555,3,270353227310,1868,24.03
Nutria,860041626179555,3,708629201073,1413,16.78
Nuway,569130094169555,3,540243587123,2546,21.70
Nymphal,561054854968555,3,186358855530,2985,40.32
Obconic,565374223196555,3,899151385306,4900,31.58
Oblique,578427897106555,3,135978169507,788,28.58
Occiput,866448918068555,3,124132879042,804,18.57
Occo,295636028172555,3,152923931225,829,33.03
Oddipest,385068411259555,3,269341457537,5873,25.39
Oomiack,862485387197555,3,106368719049,1259,25.91
Opaquer,391427643167555,3,255419536461,124,18.45
Optique Speaker,563390437088556,3,675897761411,3972,34.77
Opus,569094860079555,3,522784270199,2825,33.89
Orange,869669951157555,3,121562497806,2236,26.02
Orb,577139335172555,3,219865160706,1919,23.72
Orgapure,561260055169555,3,139531285269,2286,35.90
Origami,575184414077555,3,983383315930,1597,17.75
Orn Inc,565148728502555,3,858813389956,7940,36.38
Osso,569420099196555,3,478095708908,20455,33.30
Outbulk,576473006971555,3,122092929457,2751,34.15
Oxygens,569723569286555,3,284931247767,1049,30.19
Ozalids,287697723157555,3,152941926463,950,19.10
Packmen,586452075079555,3,133500346075,1532,27.97
Packwax,586789587058555,3,311671901375,1729,32.12
Paramount,560504893268555,3,121910556026,1106,17.80
Piazza,588765641079555,3,336242375558,1331,20.31
Picquet,868290340157555,3,815814440435,3370,21.11
Pillbox,570186721066555,3,293173362079,2767,20.11
Pizzles,569235697086555,3,903988240721,6910,37.88
Postcard,562981436198555,3,125462704874,1309,36.23
Precise,561447787906555,3,120481291724,545,23.18
Predovic Group,566604150671556,3,158624305155,280,24.75
Premier,295188384190555,3,506716802397,5818,26.62
Prequel,575304261256555,3,153052215170,218,39.21
Prima,570741154167555,3,522965366702,1641,19.98
Project,562334750376555,3,282419637539,24990,46.69
Promex,868115127070555,3,199495815573,243,19.44
Propjet,560901792087555,3,133776504955,392,14.70
Psychothon,867947845170555,3,126609999887,1124,23.10
Pubisphere,577115071106555,3,929076348732,5285,38.64
Puppet Show,576681337169555,3,811357209265,2427,24.00
Puratural,572383126088555,3,536451931271,3305,26.65
Purb,868364865170555,3,152120131143,857,23.14
Purdy  Homenick,565553117502555,3,229904780051,1307,36.95
Pureleaf,577856039167555,3,156663562098,4096,23.05
Puzzles,766831678159555,3,415655554189,3917,38.96
Quacks,567433656196555,3,398936426158,1656,24.66
Quaker,572381981088555,3,193015747041,1000,21.11
QuatreVingts Morrison,766683622100555,3,490155656485,3806,22.49
Quaver,568250174906555,3,269803737765,1445,45.26
Query 78,569669483367555,3,281415155733,3521,25.58
Quiche,569360691169555,3,481047285446,1498,17.38
Quiffs,569843308196555,3,100133209567,1398,24.83
Quilch,564285521076555,3,180674207103,837,26.43
Quills,868293197088555,3,119184170622,1322,24.14
Quinic,569967521169555,3,111461471709,2028,20.07
Quinsy,560138435196555,3,440123089653,5659,23.11
Quohog,567863530196555,3,183145106307,4409,38.14
Quotha,566650781256556,3,130727944155,457,30.69
Radiance,587944692159555,3,145600254758,1014,16.54
Raffle,576456492400556,3,120512490247,571,48.71
Rambino,566667894277555,3,379694448711,1870,26.25
Ramjob,587139812088555,3,149013462718,792,27.22
Rank And Vile,569123669106555,3,422990161446,1466,26.17
Rapid Twist,560242153268555,3,315939995999,1185,18.45
Rasta Pops,564842752956555,3,255244989151,1993,24.27
Raw Geonomic Data,562623154286555,3,339175533071,4042,54.28
Raw Ten,569429546159555,3,154176784407,18788,34.88
Realms,366585310163555,3,103507900403,483,17.57
Red Drop,569093340088555,3,160858450519,782,13.58
Red Leaf,565370734079555,3,192145527015,3823,34.91
Reichel Group,568564814566555,3,111867691298,846,36.78
Religious Sack,562500972073555,3,151038646612,2451,25.51
Ren Faire Rookies,563732194457555,3,266231282157,5973,26.05
Reno Dice,565550915367556,3,337431911978,3439,66.23
Resorcerer,571203648170555,3,404018800470,2500,23.13
Restraining Order,211770006190555,3,436852248603,3485,49.15
Retro Vile,565396162459555,3,388613186091,5273,33.60
Retsin,569192944097555,3,227333828535,1460,33.44
Rhododendrons And Dragons,560542463106555,3,518387451106,5855,34.91
Rin Tin Thin,566875222906555,3,595466121221,20594,23.87
Risking Nostalgia,861408040109555,3,301785606161,2980,25.51
Riverside,211773034068555,3,217877918371,748,21.98
Romeo Syndrome,564708615179555,3,377481365579,1318,41.41
Roost In Peat,570594074270555,3,916547482669,2963,33.62
Rotary Dialers,577115400106555,3,981165782948,7694,37.43
Rough Truffle,587467397170555,3,200778019665,3661,36.11
Roustabouts,569115830196555,3,409858190400,4086,28.63
Rox  Ray,564870512079555,3,156205232896,1314,23.31
Rsvp,566883168256555,3,611945466818,3821,42.53
Sacred Mound,575988834280555,3,133801425632,1173,20.53
Saginaw On That,259283912170555,3,460445425215,675,14.10
Saint Aphasia,567616551270555,3,178217973112,1062,15.97
Santa Rosecea,569541449270555,3,332182137871,871,34.76
Scale  Tilt,561629327459555,3,107465211455,14727,35.83
Schmeler Larkin And Pacocha,578673250559555,3,134123394841,173,17.50
Scribblr,275598554277555,3,211936320417,3664,50.98
Seasonal Space,571596011169555,3,303715826996,1204,22.24
Serendipity,561110928377555,3,138855807258,22780,40.48
Serenity,569089169256555,3,132733550106,11660,31.44
Shay  SeleneS,350351255277555,3,198297817977,151,61.52
SheebaS,561453237367555,3,416275535837,73871,41.42
Shields Kuhic And Hintz,575712927502555,3,501239727310,17462,23.75
Shurro,869003346100555,3,280376758973,8002,35.85
Simple Fruits,560367192197555,3,445192782235,4034,42.62
Simply Tasty,563055925196555,3,552765904434,3832,38.36
Sound Hill,585039461179555,3,471691257730,3010,21.89
Speedbolt,563889036277555,3,129621406092,616,18.24
Spicy Split,562110711270555,3,474155907368,1483,20.51
Starfighter,565198608502555,3,765082200170,23646,33.64
Stehr Auer And Sauer,563373468502555,3,395470148342,17747,26.22
Stumulass,570556075588555,3,228953937306,4672,20.93
Sunbiz,569771154678555,3,124545144131,4150,28.27
Sunrise,576473931502555,3,628190376861,9214,41.33
Syntrax,568562661583555,3,235669633220,6419,45.34
Taco Bliss,563371338502555,3,162203753761,6705,29.11
Technopolis,561212138500555,3,114315606612,1645,24.46
Tej Shuarya,585481083586555,3,128361931708,2162,59.19
Terby,563373997502555,3,396160442767,4445,20.01
Terra Monk,569408433502555,3,406827365089,9268,26.81
Tglr,571244073586555,3,315216007475,2126,23.08
The Breadline,588686607527555,3,394205569763,1072,13.86
Tiny Tracker,565146136502555,3,712065944740,7275,35.84
Trabbon,579605012588555,3,539712658905,1793,34.28
Travel Planet,565162909502555,3,272553552263,550,21.46
Triplis,565550915502555,3,512134992969,995,12.49
Trixity Concrete,568553496573555,3,238160788240,3091,45.10
Truebolt,587328672518555,3,109565722689,1723,69.44
Twisted Dreams,566552449670555,3,133216152967,2120,21.33
Ugly Idea,563791299502555,3,264400068738,3589,32.82
Upasana,563374896502555,3,596843704525,97802,43.52
Uphove,570350937952555,3,316410122420,1325,36.02
Uplift,565147506502555,3,755101347444,8751,47.77
Upstage,566799168509555,3,334211902030,1371,34.20
Urbn,562197926987555,3,282568970665,42565,45.01
Utterly,568138312592555,3,140408331676,15022,43.66
Valencia,571112882951555,3,166081876852,832,25.88
Veu,565162794502555,3,122301395204,1564,36.84
Virgin Wolf,572923444593555,3,111405087668,1337,20.07
Virgo Lighting,568744376966556,3,107821637205,2797,39.45
Visual Zip Lighting,577255321559555,3,202228676693,2629,18.24
Way Gear,568189513583555,3,173753343274,3545,39.83
Well Mix,567661629528555,3,750083911403,845,12.43
Wellgrip,568683515583555,3,432678883746,2876,35.15
Westend,537889649662555,3,130648835474,357,10.74
Western Height,563370702502555,3,493363340450,11128,36.93
What Else,569327197678555,3,102620579535,14640,36.74
White Bright Innovations,562633433667555,3,647491620473,8263,27.47
White Mountain,567560227967555,3,140204248493,482,27.93
White Neutry,575719090502555,3,154920586195,12844,36.95
White Wish,568842253960555,3,392066044249,5491,34.54
Who Cares?,560159233530555,3,272467871367,22094,32.67
Why Fi,560406156502555,3,373976094873,10384,38.56
Windler  Wilkinson,569128959670555,3,120571408214,891,27.47
Wingman,560613239678555,3,899783253578,14295,34.76
Wintheiser Llc,275638929952555,3,141492604801,3419,25.73
X Point,588828738970555,3,314763628913,1665,24.43
Yundt Inc,564919776670555,3,258429398265,3012,26.24
Zap,578032909853555,3,560254269421,3598,32.10
Zarza,577240925662555,3,122891014485,2471,20.83
Zeo Zat,564163445581555,3,154540317349,9331,24.63
Aadit,575850885670555,2,31160284763,3521,28.43
Act,588576329088555,2,12235003481,184,18.23
Active X,575517310963555,2,88019807939,1699,39.56
Agile,295160736858555,2,26059315239,147,9.84
Airvin,210112232761555,2,14699134175,269,16.52
Aless,562932710670555,2,95819163120,1219,21.39
Alright,561005874886555,2,31887005499,131,11.69
Alteza,572056569963555,2,11735488079,1507,31.36
Altus Car Service,860482234157555,2,10203954096,83,25.72
Amoss,201513044519555,2,15817536128,82,61.67
An Animal,453424561598555,2,22942464171,6,61.35
Anvil Design Team,564077292551555,2,48473179593,128,10.89
Apistle,569047977756555,2,11711458012,96,14.73
Appello,118808499669555,2,32288419959,533,34.39
Aquaria,364114699950555,2,12131636926,327,13.92
Arianna,860280895956555,2,49457825077,1922,37.54
Aristo Sommet,566608195662555,2,25535350078,796,28.30
Armstrong  Hermiston,563371678502555,2,64829143153,1355,37.87
Atlanta,118117723983555,2,12648044422,328,16.56
Attic,567238626870556,2,92185469885,1102,29.15
Avante,576155332971555,2,68173092099,1205,19.36
Avyaan,862911018971555,2,13527089508,663,32.39
Ayush,563932644074555,2,37955182872,735,21.17
Bake OleS,288680595677555,2,87273740044,742,22.80
Bauch Lemke And Friesen,562932736670555,2,43711066763,764,18.00
Baylene,287012143991555,2,18168469249,16,61.35
Beat,268122467670555,2,24721347756,342,28.14
Beer Inc,575528699668555,2,16454771273,165,15.59
Being,576473982063555,2,56306955918,1743,33.40
Belfry,568856915906555,2,20492327536,48,33.74
Bernier Group,571493381590555,2,10666854041,106,31.13
Better Sip,566723602671556,2,65814319582,524,46.14
Bettermind,576044831971555,2,80710815075,1650,41.83
Beyond Bee,766854330987555,2,78467920897,1370,15.21
Bigwig,575171940958555,2,13752874523,920,29.66
Bigwish,562696780670555,2,63618948916,906,30.26
Black Say,563370819502555,2,29995575249,1160,36.84
Bling Bling,569091708088555,2,46319228769,291,12.61
Blitz,450720179972555,2,49979708475,205,52.67
Block King And Lakin,560568831670555,2,43622375359,509,19.43
Blumoon,569407310957555,2,18209829249,775,21.11
Borvo Bite,562373236886555,2,11242911949,119,11.44
Bottom Cab,563253173906555,2,36353906873,5511,31.68
Bottom Crest,572293053063555,2,88337629322,948,15.01
Bou,309227745876555,2,81966756828,516,33.09
Brain Wrain,566555626678555,2,79806725874,1396,28.52
Braun  Schneider,292953739776555,2,51576143823,715,11.19
Brizo,257854815971555,2,10240731194,659,31.04
Brogue,562188760670555,2,75927776031,1147,19.15
Brown Toast,570807104871555,2,89504410304,600,11.40
Bruen Walsh And Feil,570377213670555,2,78455084879,2589,40.98
Brute Bus,595299378051555,2,22331932640,75,9.90
Buttermate,362901527866556,2,17126434186,59,10.28
C Mettle,293847502867555,2,21214972780,175,12.28
Cake Driver,862583908958555,2,63228468594,1797,25.11
Cake Pie,567087221050555,2,16566830204,3754,33.16
Cakewell,561260335160555,2,15119928514,266,33.27
Cakizza,209598488970555,2,77291539946,357,19.85
Castle,569885046971555,2,38670249724,32,36.78
Celstial,567550782777556,2,12098716916,69,39.03
Cemetral,561050456987555,2,51508008468,1368,48.96
Centaur,862300857971555,2,36387985335,872,15.50
Centrum,869238407958555,2,31006268825,136,9.52
Chameleon,562318415952555,2,12013314248,776,48.69
Chewing Gum,860228241971555,2,28057512512,877,14.89
Chumbak,765780371950555,2,11621602000,251,22.25
Clarabelle,562476510888556,2,42794953091,509,25.26
Classic,562084298367555,2,34208162082,431,24.22
Classio,561089670098555,2,38964618020,269,25.01
Coco Bits,869468319984555,2,20948385388,1053,19.71
Cookie Cut,526415869072555,2,34141906645,424,18.46
Cookie Fulfill,576157320971555,2,51402057166,803,15.19
Cormier Inc,565261372569555,2,11387214080,112,11.03
Creative Hues,569784536853555,2,79258877972,1065,16.53
Creative Surf,577484101887555,2,59217776486,367,20.85
Crescenn Bulb,560964352763556,2,15681950338,242,53.77
Crevice,285380692968555,2,10952321159,165,25.85
Crona  Legros,565175475593555,2,17228925826,5510,22.27
Crystal,564191107670555,2,14975281718,220,29.00
Cummerata And Sons,562855434554555,2,14195887820,236,34.04
Daily Touch,562444813588555,2,13778371508,669,33.52
Dairy Corner,562432372983555,2,21996877477,216,13.78
Dairy Inspire,868742757073555,2,61198204172,2295,28.03
Dairyway,356740238886555,2,61795297469,257,11.69
Dale,574565724553555,2,61085795314,688,31.60
Dangy Donut,862891418981555,2,21133182761,197,32.21
Dare  Walker,568022052527555,2,20273891647,77,44.21
Deckow  Von,452563625061555,2,20573749878,290,22.46
Deezee,450685745983555,2,14236040903,131,12.95
Dew,560731411906555,2,13750659802,187,30.44
Dexter,269384940974555,2,57818816410,4355,34.48
Dilox,561714269989555,2,22060026920,418,17.06
Districts,576969652878555,2,26869500743,352,14.00
Divina,579816389981556,2,27406777710,1431,17.07
Divya Ras,576531054950555,2,27727812020,268,20.29
Doodle,563370589502555,2,68167863140,729,22.75
Droplet Design,564937554852555,2,36462910609,1182,32.89
Duncan Dairy,286392472670555,2,53121507872,924,19.81
Duofeel,860838076983555,2,18291391890,167,13.10
Early Wish,587718740088555,2,53355620805,161,22.52
Easybake,114436095192555,2,44681713479,568,17.94
Eater,219463851954555,2,28418584050,1844,33.35
Ecumen,257185103068555,2,10713477616,182,23.23
Ekta,566603002670555,2,14152748075,580,24.00
Elavate,868335867568555,2,33972912916,676,23.59
Elements,575616882179556,2,14717381053,210,13.40
Ellara,280145942998555,2,40798473486,219,20.72
Elliot Alfreddi,283535689971555,2,15792060646,167,13.33
Elssiz,569384434968555,2,26806695931,365,35.20
Elvin Light,561752937960556,2,28456962732,1488,40.87
Elysia,862932840952555,2,27826717985,537,16.26
Enjelly,560344181670555,2,43906885675,432,23.62
Epic Crunch,568784380963555,2,61577305830,336,13.71
Epitome,576254422981555,2,68102808392,2573,18.12
Epsilon,577082145050555,2,25689010986,1001,17.09
Eros,560109907987556,2,35431149645,288,41.65
Everman,354791035993555,2,31438930404,868,33.34
Exquisite,114800670977555,2,30651634057,544,33.39
Ezy Cab,585955759988555,2,26213987991,2780,35.27
Farm Fresh,257415775971555,2,15654006271,573,15.95
Ferry  Turner,573144784957555,2,12479736380,35,30.61
Fingertip,366064686051555,2,21612833144,75,11.75
Finzerin,577359636869555,2,86862840987,843,33.85
First Bite,563763157906555,2,26447712534,1635,32.53
Fit  Hit,560003399906555,2,93063695431,3334,27.48
Five Fun Taxi,576473289050555,2,19458080134,1609,33.01
Fizzy Hire,377602631867555,2,70378300552,899,66.53
Flapjack,561400832096555,2,41785758309,231,33.48
Flavyo,265317029164555,2,16828848299,248,34.85
Flip Flop,255293402179555,2,79868562417,95,61.52
Flora,862830855079555,2,41949509933,549,21.88
Fluffiesta,315056633670555,2,72243982186,1102,30.80
Flying Cherry,579090593167555,2,20644681304,1017,33.22
Flying Wish,579252193981555,2,26399920067,1635,29.28
Fonno,765720260159555,2,36682493958,1152,21.53
Fontianna,572205438063555,2,48051243786,709,21.47
Food Flag,862100420088555,2,74558245529,242,12.18
For Today,272860318980555,2,13765365201,171,31.66
Forward Fruit,564355431087555,2,74401152807,2909,23.84
